primary_genre,period,Sales
Drama,1/1/2011,$2 
Drama,1/1/2012,$2 
Drama,1/1/2013,$2 
Drama,1/1/2014,$2 
Drama,1/1/2015,$4 
Drama,1/1/2016,$2 
Family,1/1/1980,$0 
Family,1/1/1981,$42 
Family,1/1/1982,$20 
Family,1/1/1983,$21 
Family,1/1/1984,$0 
Family,1/1/1985,$31 
Family,1/1/1986,$28 
Family,1/1/1987,$2 
Family,1/1/1988,$5 
Family,1/1/1989,$38 
Family,1/1/1990,$0 
Family,1/1/1991,$15 
Family,1/1/1992,$0 
Family,1/1/1993,$391 
Family,1/1/1994,$788 
Family,1/1/1995,$11 
Family,1/1/1996,$129 
Family,1/1/1997,$0 
Family,1/1/1998,$0 
Family,1/1/1999,$1 
Family,1/1/2000,$358 
Family,1/1/2001,$0 
Family,1/1/2002,$314 
Family,1/1/2003,$217 
Family,1/1/2004,$44 
Family,1/1/2005,$598 
Family,1/1/2006,$49 
Family,1/1/2007,$673 
Family,1/1/2008,$603 
Family,1/1/2009,$100 
Family,1/1/2010,$1 
Family,1/1/2011,$1 
Family,1/1/2012,$578 
Family,1/1/2013,$15 
Family,1/1/2014,$832 
Family,1/1/2015,$1 
Family,1/1/2016,$1 
Fantasy,1/1/1980,$27 
Fantasy,1/1/1981,$49 
Fantasy,1/1/1982,$66 
Fantasy,1/1/1983,$45 
Fantasy,1/1/1984,$170 
Fantasy,1/1/1985,$10 
Fantasy,1/1/1986,$5 
Fantasy,1/1/1987,$136 
Fantasy,1/1/1988,$629 
Fantasy,1/1/1989,$485 
Fantasy,1/1/1990,$616 
Fantasy,1/1/1991,$9 
Fantasy,1/1/1992,$235 
Fantasy,1/1/1993,$108 
Fantasy,1/1/1994,$740 
Fantasy,1/1/1995,$565 
Fantasy,1/1/1996,$346 
Fantasy,1/1/1997,$39 
Fantasy,1/1/1998,$181 
Fantasy,1/1/1999,$354 
Fantasy,1/1/2000,$322 
Fantasy,1/1/2001,$292 
Fantasy,1/1/2002,$1 
Fantasy,1/1/2003,$938 
Fantasy,1/1/2004,$487 
Fantasy,1/1/2005,$124 
Fantasy,1/1/2006,$791 
Fantasy,1/1/2007,$2 
Fantasy,1/1/2008,$1 
Fantasy,1/1/2009,$636 
Fantasy,1/1/2010,$983 
Fantasy,1/1/2011,$496 
Fantasy,1/1/2012,$570 
Fantasy,1/1/2013,$1 
Fantasy,1/1/2014,$1 
Fantasy,1/1/2015,$732 
Fantasy,1/1/2016,$454 
Foreign,1/1/1980,$0 
Foreign,1/1/1981,$0 
Foreign,1/1/1983,$0 
Foreign,1/1/1987,$0 
Foreign,1/1/1988,$0 
Foreign,1/1/1989,$0 
Foreign,1/1/1990,$0 
Foreign,1/1/1991,$0 
Foreign,1/1/1992,$0 
Foreign,1/1/1993,$0 
Foreign,1/1/1994,$0 
Foreign,1/1/1995,$0 
Foreign,1/1/1996,$0 
Foreign,1/1/1998,$0 
Foreign,1/1/1999,$22 
Foreign,1/1/2001,$0 
Foreign,1/1/2002,$56 
Foreign,1/1/2003,$0 
Foreign,1/1/2004,$0 
Foreign,1/1/2005,$0 
Foreign,1/1/2006,$0 
Foreign,1/1/2007,$0 
Foreign,1/1/2008,$2 
Foreign,1/1/2009,$0 
Foreign,1/1/2010,$170 
Foreign,1/1/2011,$721 
Foreign,1/1/2012,$111 
Foreign,1/1/2013,$0 
Foreign,1/1/2014,$0 
History,1/1/1980,$0 
History,1/1/1981,$0 
History,1/1/1982,$0 
History,1/1/1983,$0 
